SOC,V0
0,3.01047005
0.001,3.03191050588679
0.002,3.04957099832699
0.003,3.06590023448654
0.004,3.0809365245841
0.005,3.09516214315498
0.006,3.10847503148553
0.007,3.12105610842054
0.008,3.13297378365246
0.009,3.14423751290962
0.01,3.15518538526846
0.011,3.16555482505712
0.012,3.17550501653983
0.013,3.18504442002874
0.014,3.19430499773383
0.015,3.20321606198842
0.016,3.21177369540401
0.017,3.22006832073437
0.018,3.22813628770401
0.019,3.23592828632819
0.02,3.24354916095863
0.021,3.25089752306858
0.022,3.25797621848227
0.023,3.26505418673367
0.024,3.27185519309481
0.025,3.27843277857627
0.026,3.2848534825315
0.027,3.2911778106486
0.028,3.29732550522676
0.029,3.30328011823731
0.03,3.30920708824557
0.031,3.31495899156649
0.032,3.32054051343919
0.033,3.32603503287746
0.034,3.33142252533166
0.035,3.3366745269142
0.036,3.3419053326949
0.037,3.3469628763013
0.038,3.35193033823314
0.039,3.3567379281294
0.04,3.36157631231581
0.041,3.36632801466233
0.042,3.37088839991185
0.043,3.37539582595584
0.044,3.37987600182107
0.045,3.38428499404133
0.046,3.38848042591234
0.047,3.39272443117771
0.048,3.39685225018714
0.049,3.40093911127663
0.05,3.40500278664113
0.051,3.40881384200838
0.052,3.41270049680186
0.053,3.41651687876976
0.054,3.42022917377092
0.055,3.42395864974191
0.056,3.42746418967136
0.057,3.43102258515172
0.058,3.43438925994899
0.059,3.43774746416125
0.06,3.44098631591769
0.061,3.44415395364503
0.062,3.44715337924959
0.063,3.44995437035485
0.064,3.45267421609336
0.065,3.45521960043536
0.066,3.45759101157383
0.067,3.45977802194344
0.068,3.4618222039635
0.069,3.46368568613503
0.07,3.46538047612161
0.071,3.46701283540968
0.072,3.46854336170825
0.073,3.46975340731451
0.074,3.47092423920055
0.075,3.47194643657977
0.076,3.47299358735018
0.077,3.47390940582905
0.078,3.47468238146654
0.079,3.47551520694817
0.08,3.47620247182851
0.081,3.47699011819802
0.082,3.47768781265815
0.083,3.47839824030913
0.084,3.47906788415385
0.085,3.47967990614131
0.086,3.48038382540865
0.087,3.48109256511855
0.088,3.48170795197224
0.089,3.48237114069505
0.09,3.48298031478158
0.091,3.48363392887462
0.092,3.48430951457864
0.093,3.48488369533314
0.094,3.48559228020611
0.095,3.48621031661627
0.096,3.48685516401575
0.097,3.48742228370205
0.098,3.48806936106838
0.099,3.48875663400791
0.1,3.48933306876401
0.101,3.48991713021679
0.102,3.49063400447193
0.103,3.49111073205915
0.104,3.49179949873671
0.105,3.49241860929728
0.106,3.49302324871294
0.107,3.49368534074574
0.108,3.49422750112958
0.109,3.49488290509565
0.11,3.49549437392712
0.111,3.49611283154246
0.112,3.49668414304508
0.113,3.49731684299331
0.114,3.49784182641973
0.115,3.49847399593185
0.116,3.49909846296709
0.117,3.49969941130718
0.118,3.50040274956819
0.119,3.5009758582274
0.12,3.50162812219315
0.121,3.50228978937099
0.122,3.50288783466323
0.123,3.50352893869831
0.124,3.50419281485659
0.125,3.50481364373845
0.126,3.50550811774799
0.127,3.50622843531091
0.128,3.50692576196515
0.129,3.5076162460162
0.13,3.50835681446189
0.131,3.50909002893917
0.132,3.50986596490633
0.133,3.51078491975225
0.134,3.51159639973747
0.135,3.51240588710483
0.136,3.51329947629959
0.137,3.51419707985912
0.138,3.5152005505923
0.139,3.5160544743498
0.14,3.51703206785337
0.141,3.51797021059611
0.142,3.5188657945082
0.143,3.52000922741085
0.144,3.52088303832212
0.145,3.52184571465082
0.146,3.52279411432239
0.147,3.52381237155595
0.148,3.52466897854454
0.149,3.52570516376793
0.15,3.52652737954707
0.151,3.52749757116338
0.152,3.52844328270087
0.153,3.52933029153884
0.154,3.53027631429487
0.155,3.53122064050733
0.156,3.53206501915284
0.157,3.53295256193851
0.158,3.53382748308776
0.159,3.53467559039037
0.16,3.53561352058315
0.161,3.53647782915687
0.162,3.53730577511733
0.163,3.53814936240415
0.164,3.53894640813716
0.165,3.53992615105499
0.166,3.54073842396752
0.167,3.54148689722338
0.168,3.54239314010898
0.169,3.54325202683313
0.17,3.54411873302843
0.171,3.54483676055114
0.172,3.5456909376094
0.173,3.5465579941286
0.174,3.54734243764527
0.175,3.54821853436082
0.176,3.54900809834705
0.177,3.54979959693138
0.178,3.55061500477428
0.179,3.55149778935193
0.18,3.55232470934018
0.181,3.55308596515209
0.182,3.55391291250085
0.183,3.55476559094746
